Time	MeasID	DPID	Channel	Ax	Ay	Az	Bx	By	Bz	Mx	My	Mz	Nx	Ny	Nz	Fx	Fy	Fz	Note	ImA	UoutV	UV	SPV	RO	Var	RhoaOm	Cycles	PintV	PextV	TintC	Latitude	Longitude
2017-07-01 14:45:33	759	1512	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.96198	438.837	6.6944e-05	0	0.00671995	1.26024	0.0422227	2	0.0088623	13.71	29.7214	0	0
2017-07-01 14:45:52	764	1513	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		3.48973	502.404	2.24833	0	644.272	1.49941	4048.08	2	0.0088623	13.6745	29.4615	0	0
2017-07-01 14:45:11	753	1514	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.94604	483.981	165.239	0	16613.5	5.65872	104386	2	0.0088623	13.7454	30.2411	0	0
2017-07-01 14:45:22	756	1515	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		8.57887	444.42	199.286	0	23229.9	4.26448	145958	2	0.0088623	13.7277	29.9813	0	0
2017-07-01 15:05:43	777	1531	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		9.95867	427.546	132.001	0	13254.8	1.4718	83282.7	2	0.0088623	13.7011	29.7214	0	0
2017-07-01 15:05:18	770	1532	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.87303	442.295	2.86093	0	289.772	3.28492	1820.69	2	0.0088623	13.6036	30.2411	0	0
2017-07-01 15:05:04	766	1533	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		1.75327	406.048	51.1041	0	29147.8	0.695447	183141	2	0.0088623	13.7986	30.2411	0	0
2017-07-01 15:05:07	767	1534	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0704	115.648	0.435486	0	8.69748	25.2741	54.6479	2	0.0088623	13.5505	30.3711	0	0
2017-07-01 15:05:36	775	1535	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.0777	58.1387	18.7238	0	373.895	1.87137	2349.25	2	0.0088623	13.7454	29.8513	0	0
2017-07-01 15:05:28	773	1536	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.94922	486.089	232.54	0	23372.7	3.70557	146855	2	0.0088623	13.6391	29.9813	0	0
2017-07-01 15:05:46	778	1537	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		5.27249	482.618	3.92174	0	743.811	4.08213	4673.5	2	0.0088623	13.6036	29.5914	0	0
2017-07-01 15:05:24	772	1538	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		5.87163	415.368	1.07983	0	183.906	5.13594	1155.51	2	0.0088623	13.7277	29.9813	0	0
2017-07-01 15:05:14	769	1540	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.40328	456.723	96.7339	0	10287.2	12.6941	64636.7	2	0.0088623	13.7277	30.2411	0	0
2017-07-01 15:05:54	780	1541	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		3.45885	494.384	3.30211	0	954.683	0.200071	5998.45	2	0.0088623	13.6391	29.4615	0	0
2017-07-01 15:05:32	774	1542	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.96546	438.445	6.80709e-05	0	0.00683068	2.01346	0.0429184	2	0.0088623	13.7366	29.9813	0	0
2017-07-01 15:05:50	779	1543	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		3.3664	473.065	2.26895	0	673.998	1.61224	4234.86	2	0.0088623	13.7011	29.5914	0	0
2017-07-01 15:05:11	768	1544	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.95359	473.535	146.32	0	14700.3	0.433924	92364.5	2	0.0088623	13.3555	30.3711	0	0
2017-07-01 15:05:21	771	1545	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		8.32494	444.675	190.431	0	22874.8	3.14038	143727	2	0.0088623	13.7454	30.1112	0	0
2017-07-01 15:25:44	792	1561	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		9.22055	415.695	123.83	0	13429.8	0.300332	84382.1	2	0.0088623	13.7011	29.4615	0	0
2017-07-01 15:25:18	785	1562	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.9584	440.793	2.56097	0	257.167	0.810521	1615.83	2	0.0088623	13.7277	29.9813	0	0
2017-07-01 15:25:04	781	1563	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		1.72096	414.563	54.5426	0	31693.2	0.541085	199134	2	0.0088623	13.7897	30.1112	0	0
2017-07-01 15:25:07	782	1564	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0704	116.474	0.412169	0	8.2318	26.7577	51.7219	2	0.0088623	13.5327	30.1112	0	0
2017-07-01 15:25:37	790	1565	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.0784	58.956	19.9681	0	398.737	1.65846	2505.34	2	0.0088623	13.6923	29.5914	0	0
2017-07-01 15:25:29	788	1566	1	13	0	0	16	0	0	14	0	0	15	0	0	14.5	0	0.519		9.89844	487.639	214.982	0	21718.8	5.52841	136463	2	0.0088623	13.7454	29.7214	0	0
2017-07-01 15:25:48	793	1567	1	24	0	0	27	0	0	25	0	0	26	0	0	25.5	0	0.519		5.02814	479.055	4.19328	0	833.962	15.0642	5239.94	2	0.0088623	13.7366	29.4615	0	0
2017-07-01 15:25:26	787	1568	1	12	0	0	15	0	0	13	0	0	14	0	0	13.5	0	0.519		8.619	450.123	1.11861	0	129.785	1.10322	815.46	2	0.0088623	13.6923	29.7214	0	0
2017-07-01 15:25:15	784	1570	1	6	0	0	9	0	0	7	0	0	8	0	0	7.5	0	0.519		9.31736	456.17	92.9079	0	9971.48	12.1133	62652.6	2	0.0088623	13.5682	29.9813	0	0
2017-07-01 15:25:56	795	1571	1	26	0	0	29	0	0	27	0	0	28	0	0	27.5	0	0.519		3.35338	487.609	3.92864	0	1171.54	5.15948	7361.03	2	0.0088623	13.6391	29.2016	0	0
2017-07-01 15:25:33	789	1572	1	14	0	0	17	0	0	15	0	0	16	0	0	15.5	0	0.519		9.96798	432.734	6.68e-05	0	0.00670146	1.01626	0.0421065	2	0.0088623	13.5859	29.7214	0	0
2017-07-01 15:25:52	794	1573	1	25	0	0	28	0	0	26	0	0	27	0	0	26.5	0	0.519		3.72029	519.443	3.0596	0	822.407	22.0964	5167.34	2	0.0088623	13.71	29.3315	0	0
2017-07-01 15:25:11	783	1574	1	2	0	0	5	0	0	3	0	0	4	0	0	3.5	0	0.519		9.94799	484.545	151.778	0	15257.1	7.08743	95863.2	2	0.0088623	13.7454	29.9813	0	0
2017-07-01 15:25:22	786	1575	1	8	0	0	11	0	0	9	0	0	10	0	0	9.5	0	0.519		8.34086	438.719	184.419	0	22110.4	1.81306	138924	2	0.0088623	13.5859	29.8513	0	0
2017-07-01 15:45:43	807	1591	1	20	0	0	23	0	0	21	0	0	22	0	0	21.5	0	0.519		9.28169	412.088	121.997	0	13143.9	1.95524	82585.3	2	0.0088623	13.6657	29.5914	0	0
2017-07-01 15:45:18	800	1592	1	7	0	0	10	0	0	8	0	0	9	0	0	8.5	0	0.519		9.95667	440.023	2.34303	0	235.323	1.89983	1478.58	2	0.0088623	13.71	30.1112	0	0
2017-07-01 15:45:03	796	1593	1	0	0	0	3	0	0	1	0	0	2	0	0	1.5	0	0.519		1.70223	426.326	53.551	0	31459.2	0.316171	197664	2	0.0088623	13.7632	30.2411	0	0
2017-07-01 15:45:07	797	1594	1	1	0	0	4	0	0	2	0	0	3	0	0	2.5	0	0.519		50.0661	112.754	0.413615	0	8.26138	26.0283	51.9078	2	0.0088623	13.5505	30.2411	0	0
2017-07-01 15:45:36	805	1595	1	18	0	0	21	0	0	19	0	0	20	0	0	19.5	0	0.519		50.0793	58.2361	19.0027	0	379.452	1.57386	2384.17	2	0.0088623	13.6923	29.7214	0	0
